"Date","Price","Open","High","Low","Change %"
"Dec 21","6.454","6.360","6.497","6.340","2.02%"
"Nov 21","6.326","6.391","6.393","6.287","-0.97%"
"Oct 21","6.388","6.230","6.429","6.226","2.65%"
"Sep 21","6.223","6.235","6.235","6.116","0.13%"
"Aug 21","6.215","6.204","6.284","6.188","0.18%"
"Jul 21","6.204","6.082","6.277","6.035","2.53%"
"Jun 21","6.051","6.032","6.089","5.984","0.48%"
"May 21","6.022","6.029","6.048","5.958","-0.13%"
"Apr 21","6.030","6.202","6.202","5.990","-2.38%"
"Mar 21","6.177","6.236","6.274","6.114","-0.83%"
"Feb 21","6.229","5.917","6.242","5.888","4.71%"
"Jan 21","5.949","5.905","5.988","5.839","0.93%"
"Dec 20","5.894","5.919","5.981","5.887","-0.29%"
"Nov 20","5.911","5.890","5.936","5.837","0.51%"
"Oct 20","5.881","5.965","6.042","5.791","-2.23%"
"Sep 20","6.015","5.949","6.109","5.878","-1.04%"
"Aug 20","6.078","5.846","6.231","5.808","4.13%"
"Jul 20","5.837","5.907","5.907","5.747","-0.87%"
"Jun 20","5.888","6.055","6.089","5.755","-2.08%"
"May 20","6.013","6.138","6.250","5.879","-1.59%"
"Apr 20","6.110","6.287","6.504","6.015","-0.46%"
"Mar 20","6.138","6.343","6.449","5.995","-3.66%"
"Feb 20","6.371","6.509","6.520","6.326","-3.46%"
"Jan 20","6.599","6.548","6.692","6.485","0.69%"
"Dec 19","6.554","6.463","6.837","6.448","1.46%"
"Nov 19","6.460","6.431","6.574","6.415","-2.75%"
"Oct 19","6.643","6.680","6.739","6.582","-0.78%"
"Sep 19","6.695","6.498","6.874","6.488","2.12%"
"Aug 19","6.556","6.394","6.639","6.296","2.94%"
"Jul 19","6.369","6.906","6.930","6.266","-7.41%"
"Jun 19","6.879","6.949","7.097","6.734","-2.18%"
"May 19","7.032","7.411","7.426","7.030","-5.15%"
"Apr 19","7.414","7.356","7.497","7.229","0.93%"
"Mar 19","7.346","7.588","7.590","7.301","-3.23%"
"Feb 19","7.591","7.470","7.699","7.425","1.44%"
"Jan 19","7.483","7.401","7.650","7.350","1.53%"
"Dec 18","7.370","7.646","7.703","7.218","-3.12%"
"Nov 18","7.607","7.831","7.840","7.576","-3.13%"
"Oct 18","7.853","7.923","8.210","7.797","-2.13%"
"Sep 18","8.024","7.940","8.231","7.917","0.92%"
"Aug 18","7.951","7.767","7.958","7.681","2.30%"
"Jul 18","7.772","7.889","7.917","7.723","-1.66%"
"Jun 18","7.903","7.860","8.000","7.769","0.98%"
"May 18","7.826","7.731","7.945","7.553","0.76%"
"Apr 18","7.767","7.333","7.797","7.123","4.99%"
"Mar 18","7.398","7.726","7.800","7.286","-4.25%"
"Feb 18","7.726","7.446","7.816","7.399","3.98%"
"Jan 18","7.430","7.349","7.587","7.243","1.42%"
"Dec 17","7.326","7.088","7.410","7.012","3.80%"
"Nov 17","7.058","6.879","7.084","6.847","2.86%"
"Oct 17","6.862","6.674","6.898","6.625","2.99%"
"Sep 17","6.663","6.492","6.710","6.477","2.11%"
"Aug 17","6.525","6.466","6.576","6.419","0.93%"
"Jul 17","6.465","6.610","6.618","6.404","-0.71%"
"Jun 17","6.511","6.649","6.672","6.419","-2.25%"
"May 17","6.661","6.968","6.994","6.653","-4.31%"
"Apr 17","6.961","6.658","6.983","6.554","4.55%"
"Mar 17","6.658","6.898","6.932","6.665","-3.09%"
"Feb 17","6.870","6.403","6.953","6.376","7.23%"
"Jan 17","6.407","6.483","6.494","6.294","-1.61%"
"Dec 16","6.512","6.257","6.620","6.169","4.31%"
"Nov 16","6.243","6.873","6.929","6.113","-9.32%"
"Oct 16","6.885","6.956","6.956","6.783","-1.05%"
"Sep 16","6.958","7.104","7.126","6.910","-2.14%"
"Aug 16","7.110","7.138","7.225","7.074","-0.74%"
"Jul 16","7.163","7.441","7.441","7.161","-3.83%"
"Jun 16","7.448","7.473","7.546","7.421","-0.31%"
"May 16","7.471","7.439","7.499","7.419","0.48%"
"Apr 16","7.435","7.451","7.496","7.353","-0.32%"
"Mar 16","7.459","7.630","7.672","7.453","-2.15%"
"Feb 16","7.623","7.793","7.879","7.617","-2.01%"
"Jan 16","7.779","7.754","7.832","7.707","0.27%"
"Dec 15","7.758","7.785","7.818","7.686","-0.36%"
"Nov 15","7.786","7.640","7.788","7.610","1.91%"
"Oct 15","7.640","7.527","7.648","7.496","1.34%"
"Sep 15","7.539","7.793","7.803","7.527","-3.15%"
"Aug 15","7.784","7.788","7.911","7.712","-0.28%"
"Jul 15","7.806","7.865","7.909","7.725","-0.70%"
"Jun 15","7.861","7.815","8.017","7.689","0.59%"
